Gene;Log2Fc sEC/cEC;Mean cEC;Mean sEC;Log2Fc sPC/cPC;Mean cPC;Mean sPC;Log 2Fc sAC/cAC;Mean cAC;Mean sAC;Log2Fc sMG/cMG;Mean cMG;Mean sMG;cEC_exp;cPC_exp;cAC_exp;cMG_exp;sEC_exp;sPC_exp;sAC_exp;sMG_exp;EC_reg;PC_reg;AC_reg;MG_reg
Prss35;NA;0;0;NA;0;0;0,12;176;183;NA;0;0;0;0;1;0;0;0;1;0;0;0;0;0
Fezf2;NA;0;0;NA;0;0;-1,14;166;73;NA;0;0;0;0;1;0;0;0;1;0;0;0;0;0
Otoa;NA;0;0;NA;0;0;-0,33;89;68;NA;0;0;0;0;1;0;0;0;1;0;0;0;0;0
Gm26512;NA;0;0;NA;0;0;-0,42;82;60;NA;0;0;0;0;1;0;0;0;1;0;0;0;0;0
Nphs1;NA;0;0;NA;0;0;-1,08;96;43;NA;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Gpr50;NA;0;0;NA;0;0;1,54;25;73;NA;0;0;0;0;0;0;0;0;1;0;0;0;0;0
2610316D01Rik;NA;0;0;NA;0;0;-0,89;63;32;NA;0;0;0;0;1;0;0;0;1;0;0;0;0;0
Gm33594;NA;0;0;NA;0;0;-0,16;49;41;NA;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Gm37107;NA;0;0;NA;0;0;-0,42;52;38;NA;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Acsm5;NA;0;0;NA;0;0;-1,46;66;22;NA;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Gm20743;NA;0;0;NA;0;0;-1,35;64;24;NA;0;0;0;0;1;0;0;0;0;0;0;0;0;0
AC147241.1;NA;0;0;NA;0;0;0;44;43;NA;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Gm7967;NA;0;0;NA;0;0;-1,52;65;21;NA;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Gm36944;NA;0;0;NA;0;0;-0,55;51;34;NA;0;0;0;0;1;0;0;0;1;0;0;0;0;0
Epx;NA;0;0;NA;0;0;-0,39;46;34;NA;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Tmprss7;NA;0;0;NA;0;0;-0,56;46;29;NA;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Colq;NA;0;0;NA;0;0;-1,16;52;22;NA;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Smyd1;NA;0;0;NA;0;0;-0,39;42;31;NA;0;0;0;0;1;0;0;0;1;0;0;0;0;0
Erv3;NA;0;0;NA;0;0;0,53;29;41;NA;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Gm26803;NA;0;0;NA;0;0;0,33;31;38;NA;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Foxo6os;NA;0;0;NA;0;0;-0,16;35;30;NA;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Birc7;NA;0;0;NA;0;0;-1,62;51;15;NA;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Gm37367;NA;0;0;NA;0;0;0,26;29;33;NA;0;0;0;0;1;0;0;0;1;0;0;0;0;0
BC006965;NA;0;0;NA;0;0;-1,15;43;18;NA;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Apoc3;NA;0;0;NA;0;0;-0,47;35;25;NA;0;0;0;0;0;0;0;0;1;0;0;0;0;0
3110082J24Rik;NA;0;0;NA;0;0;-1,28;43;16;NA;0;0;0;0;1;0;0;0;1;0;0;0;0;0
1700003D09Rik;NA;0;0;NA;0;0;-0,22;32;26;NA;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Nat8f3;NA;0;0;NA;0;0;-0,68;35;21;NA;0;0;0;0;1;0;0;0;0;0;0;0;0;0
6430503K07Rik;NA;0;0;NA;0;0;-0,51;32;21;NA;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Pcdh8;NA;0;0;NA;0;0;1,62;12;39;NA;0;0;0;0;0;0;0;0;1;0;0;0;0;0
A830019P07Rik;NA;0;0;NA;0;0;-0,16;28;24;NA;0;0;0;0;1;0;0;0;0;0;0;0;0;0
2900037B21Rik;NA;0;0;NA;0;0;-0,6;32;20;NA;0;0;0;0;1;0;0;0;0;0;0;0;0;0
C2cd4d;NA;0;0;NA;0;0;-0,59;30;19;NA;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Gm44151;NA;0;0;NA;0;0;-1,01;33;15;NA;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Fam83f;NA;0;0;NA;0;0;-0,82;31;16;NA;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Gm37211;NA;0;0;NA;0;0;-0,15;23;21;NA;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Dmrta2;NA;0;0;NA;0;0;-1;30;14;NA;0;0;0;0;1;0;0;0;0;0;0;0;0;0
4930480K15Rik;NA;0;0;NA;0;0;-0,3;24;18;NA;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Gm27151;NA;0;0;NA;0;0;-0,02;21;20;NA;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Gm6185;NA;0;0;NA;0;0;0,53;16;22;NA;0;0;0;0;0;0;0;0;1;0;0;0;0;0
C1ql3;NA;0;0;NA;0;0;1,86;7;30;NA;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Gm45168;NA;0;0;NA;0;0;-0,6;20;12;NA;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Nlrp1c-ps;NA;0;0;NA;0;0;NA;0;0;-1,31;132;50;0;0;0;1;0;0;0;0;0;0;0;0
Dyrk4;NA;0;0;NA;0;0;-0,27;11;9;-1,69;91;26;0;0;0;1;0;0;0;0;0;0;0;0
Fam196b;NA;0;0;NA;0;0;0,58;1;2;-1,04;78;36;0;0;0;1;0;0;0;0;0;0;0;0
Ano7;NA;0;0;NA;0;0;-0,48;1;1;-2,45;90;15;0;0;0;1;0;0;0;0;0;0;0;1
Gm27676;NA;0;0;NA;0;0;-0,14;1;0;-0,35;50;38;0;0;0;1;0;0;0;0;0;0;0;0
Ddx43;NA;0;0;NA;0;0;1,8;0;2;-1,22;62;25;0;0;0;1;0;0;0;0;0;0;0;0
Pvrig;NA;0;0;NA;0;0;NA;0;0;-1,03;53;25;0;0;0;1;0;0;0;0;0;0;0;0
Gm15928;NA;0;0;NA;0;0;-0,41;5;3;-1,63;50;14;0;0;0;1;0;0;0;0;0;0;0;0
Gm3739;NA;0;0;NA;0;0;NA;0;0;-2,79;57;7;0;0;0;1;0;0;0;0;0;0;0;1
Olfr110;NA;0;0;NA;0;0;-1,29;1;0;-0,11;28;25;0;0;0;1;0;0;0;1;0;0;0;0
AC112157.1;NA;0;0;NA;0;0;NA;0;0;-1,44;33;11;0;0;0;1;0;0;0;0;0;0;0;0
Gm13479;NA;0;0;NA;0;0;NA;0;0;-3,85;43;2;0;0;0;1;0;0;0;0;0;0;0;1
4933406I18Rik;NA;0;0;NA;0;0;0,18;0;0;-0,94;30;14;0;0;0;1;0;0;0;0;0;0;0;0
AC159810.1;NA;0;0;NA;0;0;NA;0;0;-1,99;35;7;0;0;0;1;0;0;0;0;0;0;0;0
Gm37606;NA;0;0;NA;0;0;-0,4;45;33;-1,13;30;12;0;0;1;0;0;0;1;0;0;0;0;0
AC132332.1;NA;0;0;NA;0;0;-1,58;2;0;-1,04;28;12;0;0;0;1;0;0;0;0;0;0;0;0
Gm42971;NA;0;0;NA;0;0;0,38;20;27;-0,52;14;9;0;0;1;0;0;0;0;0;0;0;0;0
Serpinf2;NA;0;0;NA;0;0;1,79;15;54;-1,88;13;2;0;0;0;0;0;0;1;0;0;0;0;0
Spag5;NA;0;0;NA;0;0;-0,01;208;201;3,24;0;10;0;0;1;0;0;0;1;0;0;0;0;0
Cckbr;NA;0;0;NA;0;0;-0,48;220;154;-3,21;9;0;0;0;0;0;0;0;1;0;0;0;0;0
Gm13031;NA;0;0;NA;0;0;-2,17;31;6;-1,11;4;1;0;0;1;0;0;0;0;0;0;0;0;0
Gm42583;NA;0;0;NA;0;0;0,1;67;70;-0,41;3;2;0;0;1;0;0;0;0;0;0;0;0;0
Egfl6;NA;0;0;NA;0;0;-0,71;309;182;2,42;0;4;0;0;1;0;0;0;1;0;0;0;0;0
Gm43765;NA;0;0;NA;0;0;-0,42;74;54;-1,55;3;0;0;0;1;0;0;0;1;0;0;0;0;0
