NAME;AC_e;EC_e;MG_e;PC_e;AC;EC;MG;PC
Cst3;1;1;1;1;0;0;0;0
Fth1;1;1;1;1;0;0;1;0
Fos;1;1;1;1;0;0;1;0
Acta2;1;1;1;1;0;0;0;1
Apoe;1;1;1;1;0;0;1;0
mt-Rnr2;1;1;1;1;0;0;0;0
Spp1;1;1;1;1;1;1;1;1
Actb;1;1;1;1;0;0;1;0
Tmsb4x;1;1;1;1;0;0;0;1
mt-Cytb;1;1;1;1;0;0;0;0
Ptgds;1;1;1;1;0;0;0;0
C1qb;1;1;1;0;0;0;0;0
Ctsd;1;1;1;1;0;0;0;0
Serinc3;1;1;1;1;0;0;1;0
Ctsb;1;1;1;1;1;1;1;1
Ctss;1;1;1;0;0;0;0;0
Lars2;1;1;1;1;0;0;0;0
Mfge8;1;1;1;1;0;0;0;0
Dusp1;1;1;1;1;0;0;1;0
mt-Co1;1;1;1;1;0;0;0;0
Hexb;1;1;1;1;0;0;0;0
Itm2b;1;1;1;1;0;0;1;0
Clu;1;1;1;1;0;0;0;0
Sparc;1;1;1;1;0;0;0;0
Nfkbia;1;1;1;1;0;0;0;0
Bsg;1;1;1;1;0;1;0;0
Ly6c1;1;1;1;1;0;0;0;0
Ckb;1;1;1;1;0;0;0;0
Plp1;1;1;1;1;0;0;0;0
Cd81;1;1;1;1;0;0;0;0
C1qc;1;1;1;0;0;0;0;0
Slc2a1;1;1;1;1;0;0;0;0
Csf1r;1;1;1;0;0;0;1;0
Aldoc;1;0;1;1;0;0;0;0
mt-Nd1;1;1;1;1;0;0;0;0
Sparcl1;1;1;1;1;0;1;0;1
Ly6a;1;1;1;1;0;0;0;0
Selenop;1;1;1;1;0;0;1;0
Flna;1;1;1;1;0;0;1;0
Cd14;1;1;1;1;0;0;1;1
Jun;1;1;1;1;0;0;1;0
Calm1;1;1;1;1;0;0;1;0
Myl9;1;1;1;1;0;1;0;1
Egr1;1;1;1;1;0;0;1;0
Junb;1;1;1;1;0;0;0;0
Gm26917;1;1;1;1;0;0;0;0
Gpr37l1;1;0;0;0;0;0;0;0
Igfbp7;1;1;1;1;0;0;0;0
Atp5b;1;1;1;1;0;0;1;0
Btg2;1;1;1;1;0;0;0;0
Hspa5;1;1;1;1;0;1;0;1
Ccl4;1;1;1;0;0;0;0;0
Psap;1;1;1;1;0;0;1;0
Ly6e;1;1;1;1;0;0;0;0
Timp3;1;1;1;1;0;1;0;0
Cpe;1;1;1;1;0;0;0;1
Zfp36;1;1;1;1;0;0;0;0
Htra1;1;1;1;1;0;0;0;0
Eef1a1;1;1;1;1;0;0;0;0
Mt1;1;1;1;1;0;0;1;1
B2m;1;1;1;1;0;0;0;1
Ucp2;1;1;1;1;0;0;0;1
Plpp3;1;1;1;1;0;0;0;0
Malat1;1;1;1;1;0;0;0;0
Atp1a2;1;1;1;1;0;0;0;0
Vim;1;1;1;1;0;0;1;1
Aldoa;1;1;1;1;0;0;1;0
Laptm5;1;1;1;1;0;0;0;0
Grn;1;1;1;1;0;0;0;0
Hsp90ab1;1;1;1;1;0;0;1;0
H2-D1;1;1;1;1;0;0;0;0
Sgk1;1;1;1;1;0;0;0;0
Ctsl;1;1;1;1;0;0;1;1
Slc1a3;1;1;1;0;0;0;1;0
Ctsz;1;1;1;1;0;0;0;0
Apod;1;1;1;1;0;0;0;0
Cx3cr1;1;1;1;0;0;0;0;0
Aplp1;1;1;1;1;0;0;0;0
Id3;1;1;1;1;0;0;0;0
Cavin1;1;1;1;1;0;0;0;1
Ftl1;1;1;1;1;0;0;1;1
C1qa;1;1;1;0;0;0;0;0
Lgmn;1;1;1;1;0;0;0;1
Cd63;1;1;1;1;0;0;1;0
Atf3;1;1;1;1;0;0;1;1
Scd2;1;1;1;1;0;0;0;0
mt-Nd2;1;1;1;1;0;0;0;0
Slc3a2;1;1;1;1;0;0;0;0
Cd9;1;1;1;1;0;0;1;0
S1pr1;1;1;1;1;0;0;0;0
Mgp;1;1;1;1;0;0;0;1
Eef2;1;1;1;1;0;0;0;0
Flt1;1;1;1;1;0;0;0;0
Agt;1;0;1;0;0;0;0;0
mt-Nd5;1;1;1;1;0;0;0;0
Dstn;1;1;1;1;0;0;0;0
Prkar1a;1;1;1;1;0;0;0;0
H3f3b;1;1;1;1;0;0;0;0
Tubb4a;1;1;1;1;0;0;0;0
Cd83;1;1;1;0;0;0;0;0
Cdc42;1;1;1;1;0;0;0;0
Selplg;1;1;1;0;0;0;1;0
Clic4;1;1;1;1;0;0;1;0
Cnbp;1;1;1;1;0;0;0;0
Gnai2;1;1;1;1;0;0;0;0
Msn;1;1;1;1;0;0;0;1
Ctsa;1;1;1;1;0;0;0;0
P4hb;1;1;1;1;0;0;1;0
Ubb;1;1;1;1;0;0;0;0
mt-Nd4;1;1;1;1;0;0;0;0
Enpp2;1;1;1;1;0;0;0;0
Cnp;1;1;1;1;0;0;0;0
Tpm1;1;1;1;1;0;0;0;1
Pdia3;1;1;1;1;0;0;0;0
Itgb1;1;1;1;1;0;0;0;0
Slc6a1;1;0;1;1;0;0;0;0
Tsc22d1;1;1;1;1;0;0;0;0
Tpm2;1;1;1;1;0;0;0;0
Ttr;1;1;1;1;0;0;0;0
Ldha;1;1;1;1;0;0;1;1
Ifitm3;1;1;1;1;0;0;1;1
Hspa8;1;1;1;1;0;0;0;0
Prnp;1;1;1;1;0;1;0;0
Atp5a1;1;1;1;1;0;0;0;0
Cdkn1a;1;1;1;1;0;0;1;0
Pfn1;1;1;1;1;0;0;1;0
Ubc;1;1;1;1;0;0;0;0
Esam;1;1;1;1;0;0;0;0
Glul;1;1;1;1;0;1;1;0
Pkm;1;1;1;1;0;1;1;1
Crip1;1;1;1;1;0;0;0;0
Cldn5;1;1;1;1;0;0;0;0
Fcrls;1;1;1;0;0;0;0;0
Crip2;1;1;1;1;0;0;0;0
Sdcbp;1;1;1;1;0;1;1;1
Gapdh;1;1;1;1;0;1;1;0
Slco1a4;1;1;1;1;0;0;0;0
Gja1;1;1;1;1;0;1;0;0
Itm2a;1;1;1;1;0;1;0;0
Sqstm1;1;1;1;1;0;0;0;0
Gsn;1;1;1;1;0;0;0;1
Myh11;1;1;0;1;0;0;0;1
Tmem119;1;1;1;1;0;0;1;0
Gm15564;1;1;1;1;0;0;0;0
Slc25a5;1;1;1;1;0;0;1;0
Gpx1;1;1;1;1;0;0;0;0
Aplp2;1;1;1;1;0;0;0;1
Col4a1;1;1;1;1;0;1;1;0
Mbp;1;1;1;1;0;0;0;0
Ier2;1;1;1;1;0;0;0;0
Pttg1ip;1;1;1;1;0;0;0;0
Tm4sf1;1;1;1;1;0;0;1;1
Adamts1;1;1;1;1;1;0;0;0
Atp1b2;1;1;1;1;0;0;0;0
Actn4;1;1;1;1;0;0;0;1
Ctla2a;1;1;0;1;0;0;1;1
Itm2c;1;1;1;1;0;1;0;0
Tmem59;1;1;1;1;0;0;0;0
Epas1;1;1;1;1;0;0;0;0
